#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Other_Names,Locality_Description,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
SSS039_Water,10.58052/IEWDR01NJ,10.58052/IEPRS008G,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0284,-120.6115,stream,Satus Creek,S37,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS040_Water,10.58052/IEWDR01NK,10.58052/IEPRS00UG,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6833,-120.9404,stream,Tieton River,S54,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS041_Water,10.58052/IEWDR01NL,10.58052/IEPRS008J,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.7239,-120.8135,stream,Tieton River,S49R,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS042_Water,10.58052/IEWDR01NM,10.58052/IEPRS008L,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.7298,-120.8041,stream,Tieton River,S51,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS043_Water,10.58052/IEWDR01NN,10.58052/IEPRS00U2,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.9006,-121.2466,stream,Bumping River,S11,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS044_Water,10.58052/IEWDR01NO,10.58052/IEPRS00TX,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.9754,-121.158,stream,Bumping River,S02,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS045_Water,10.58052/IEWDR01NP,10.58052/IEPRS00TW,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.976,-121.1579,stream,American River,S01,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS046_Water,10.58052/IEWDR01NQ,10.58052/IEPRS00U3,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.1683,-120.8346,stream,Teanaway River,S22RR,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS047_Water,10.58052/IEWDR01NR,10.58052/IEPRS0084,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.1857,-120.9213,stream,Yakima River,S23,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS048_Water,10.58052/IEWDR01NS,10.58052/IEPRS00U5,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.0822,-120.7334,stream,Taneum Creek,S29,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
CM_001_RNA,10.58052/IEWDR01NT,10.58052/IEWDR01KZ,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,46.7322,-117.1805,stream,South Fork Palouse,MP-2699,N/A,In stream site,United States,Washington,Pullman,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Philip Moffatt, 2022-04-18,https://whondrs.pnnl.gov,regular URL
CM_002_RNA,10.58052/IEWDR01NU,10.58052/IEWDR01KN,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,38.7819,-77.3884,stream,Pope's Head Creek,MP-587,Clifton; VA,In stream site,United States,Virginia,Clifton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Karen Knee, 2022-05-30,https://whondrs.pnnl.gov,regular URL
CM_003_RNA,10.58052/IEWDR01NV,10.58052/IEWDR01L4,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,40.1047,-77.1803,stream,Mountain Creek,MP-3508,N/A,In stream site,United States,Pennsylvania,Mount Holly Springs,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Jorden Hayes, 2022-05-02,https://whondrs.pnnl.gov,regular URL
CM_004_RNA,10.58052/IEWDR01NW,10.58052/IEWDR01KK,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,42.7231,-73.1978,stream,Hoosic River,MP-161,N/A,In stream site,United States,Massachusetts,Williamstown,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Jose Constantine, 2022-05-24,https://whondrs.pnnl.gov,regular URL
CM_005_RNA,10.58052/IEWDR01NX,10.58052/IEWDR01KY,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,48.8186,-122.5806,stream,Nooksack River,MP-2529,Slater Rd,In stream site,United States,Washington,Bellingham,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kaatje Kraft, 2022-11-07,https://whondrs.pnnl.gov,regular URL
CM_006_RNA,10.58052/IEWDR01NY,10.58052/IEWDR01L2,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,38.9746,-119.8218,stream,West Fork Carson River,MP-3254,N/A,In stream site,United States,Nevada,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Nick Bouskill, 2022-05-15,https://whondrs.pnnl.gov,regular URL
CM_007_RNA,10.58052/IEWDR01NZ,10.58052/IEWDR01KX,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,39.0073,-121.5804,stream,Bear/Feather River,MP-2376,N/A,In stream site,United States,California,Yuba City,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Nick Bouskill, 2022-05-15,https://whondrs.pnnl.gov,regular URL
CM_008_RNA,10.58052/IEWDR01O0,10.58052/IEWDR01L1,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,33.9485,-117.6118,stream,Cucamonga Creek,MP-3102,Cucamonga Creek,In stream site,United States,California,Chino,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Guilinger, 2022-05-22,https://whondrs.pnnl.gov,regular URL
CM_010_RNA,10.58052/IEWDR01O1,10.58052/IEWDR01KQ,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,33.6666,-79.8467,stream,Black River,MP-1285,N/A,In stream site,United States,South Carolina,Kingstree,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Carl Trettin, 2022-06-06,https://whondrs.pnnl.gov,regular URL
CM_011_RNA,10.58052/IEWDR01O2,10.58052/IEWDR01KM,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,42.5055,-73.5062,stream,Kinderhook Creek,MP-195,N/A,In stream site,United States,New York,East Nassau,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kevin Ryan, 2022-08-21,https://whondrs.pnnl.gov,regular URL
CM_012_RNA,10.58052/IEWDR01O3,10.58052/IEWDR01KL,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,42.7638,-73.3372,stream,Little Hoosic River,MP-162,N/A,In stream site,United States,New York,Petersburgh,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kevin Ryan, 2022-08-21,https://whondrs.pnnl.gov,regular URL
CM_013_RNA,10.58052/IEWDR01O4,10.58052/IEWDR01L6,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,41.3093,-83.1578,stream,Sandusky River,SP-1,Tindall Bridge,In stream site,United States,Ohio,Ballville,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Laura Johnson, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_014_RNA,10.58052/IEWDR01O5,10.58052/IEWDR01KO,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,35.3668,-77.4403,stream,Contentnea Creek,MP-645,N/A,In stream site,United States,North Carolina,Grifton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Marcelo Ardon, 2022-06-13,https://whondrs.pnnl.gov,regular URL
CM_015_RNA,10.58052/IEWDR01O6,10.58052/IEWDR01L3,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,39.4803,-106.0468,stream,Blue River,MP-3317,N/A,In stream site,United States,Colorado,Breckenridge,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Cam Anderson, 2022-06-06,https://whondrs.pnnl.gov,regular URL
CM_016_RNA,10.58052/IEWDR01O7,10.58052/IEWDR01KR,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,43.4099,-83.965,stream,Saginaw River,MP-1425,Sagiw; MI,In stream site,United States,Michigan,Saginaw,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Matt Schrenk, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_017_RNA,10.58052/IEWDR01O8,10.58052/IEWDR01KT,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,45.5974,-110.566,stream,Yellowstone River,MP-1796,N/A,In stream site,United States,Montana,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ann Burgess, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_018_RNA,10.58052/IEWDR01O9,10.58052/IEWDR01LB,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,41.3166,-102.126,stream,North Platte River,SP-2,North Platte River at Lewellen Bridge,In stream site,United States,Nebraska,Lewellen,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Melissa Wuellner, 2022-06-13,https://whondrs.pnnl.gov,regular URL
CM_020_RNA,10.58052/IEWDR01OA,10.58052/IEWDR01LC,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,33.8277,-79.0449,stream,Waccamaw River,SP-4,Conway Mari,In stream site,United States,South Carolina,Conway,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Angelos Hannides, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_021_RNA,10.58052/IEWDR01OB,10.58052/IEWDR01L7,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,32.3505,-111.0953,stream,Santa Cruz River,SP-10,Santa Cruz River at Cotaro Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christian Ayala, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_022_RNA,10.58052/IEWDR01OC,10.58052/IEWDR01LF,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,44.5505,-123.2497,stream,Willamette River,SP-8,Willamette River MS-10 Cor,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_023_RNA,10.58052/IEWDR01OD,10.58052/IEWDR01LG,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,44.556,-123.2769,stream,Marys River,SP-9,MR01 Marys River,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_024_RNA,10.58052/IEWDR01OE,10.58052/IEWDR01LD,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,33.684,-84.4153,stream,South River,SP-5,SR24,In stream site,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Shuo Chen, 2022-08-01,https://whondrs.pnnl.gov,regular URL
CM_027_RNA,10.58052/IEWDR01OF,10.58052/IEWDR01KU,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,29.3338,-95.2832,stream,Chocolate Bayou,MP-2179,Chocolate Bayou Public Boat Ramp,In stream site,United States,Texas,Liverpool,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_028_RNA,10.58052/IEWDR01OG,10.58052/IEWDR01KW,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,28.8318,-96.5783,stream,Lavaca River/Estuary,MP-2197,Lavaca River across boat ramp,In stream site,United States,Texas,Lolita,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_032_RNA,10.58052/IEWDR01OH,10.58052/IEWDR01KS,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,46.804,-96.798,stream,Red River of the North,MP-1481,N/A,In stream site,United States,North Dakota,Fargo,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bernhardt Saini-Eidukat, 2022-10-03,https://whondrs.pnnl.gov,regular URL
CM_033_RNA,10.58052/IEWDR01OI,10.58052/IEWDR01L8,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,32.4713,-111.3042,stream,Santa Cruz River,SP-13,Santa Cruz River at Trico Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Viviana Freire, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_034_RNA,10.58052/IEWDR01OJ,10.58052/IEWDR01L9,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,46.4979,-84.3742,stream,St. Marys River,SP-14,Ashmun Bay,In stream site,United States,Michigan,Sault Sainte Marie; MI,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ashley Moerke, 2022-08-30,https://whondrs.pnnl.gov,regular URL
CM_035_RNA,10.58052/IEWDR01OK,10.58052/IEWDR01LE,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,45.0844,-92.7856,stream,St. Croix,SP-6,St. Croix Boom Site,In stream site,United States,Minnesota,Stillwater,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Cara Santelli, 2022-10-17,https://whondrs.pnnl.gov,regular URL
CM_037_RNA,10.58052/IEWDR01OL,10.58052/IEWDR01L0,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,41.3825,-72.8972,stream,Mill River,MP-2865,N/A,In stream site,United States,Connecticut,North Haven,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_038_RNA,10.58052/IEWDR01OM,10.58052/IEWDR01KJ,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,41.5236,-72.2067,stream,Yantic River,MP-55,N/A,In stream site,United States,Connecticut,Norwich,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_039_RNA,10.58052/IEWDR01ON,10.58052/IEWDR01KV,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,30.2457,-97.6915,stream,Lower Colorado River,MP-2194,Lower Colorado River Hwy183 Bridge,In stream site,United States,Texas,Austin,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-10-24,https://whondrs.pnnl.gov,regular URL
CM_040_RNA,10.58052/IEWDR01OO,10.58052/IEWDR01LA,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,30.4384,-91.1912,stream,Mississippi RIver,SP-15,N/A,In stream site,United States,Louisiana,Baton Rouge,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Yi-Jun Xu, 2022-10-16,https://whondrs.pnnl.gov,regular URL
CM_041_RNA,10.58052/IEWDR01OP,10.58052/IEWDR01KP,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,37.3724,-80.8599,stream,New River,MP-1110,N/A,In stream site,United States,Virginia,Glen Lyn,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_042_RNA,10.58052/IEWDR01OQ,10.58052/IEWDR01L5,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,37.0422,-80.5627,stream,Little River,MP-11342,N/A,In stream site,United States,Virginia,Snowville,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_062_RNA,10.58052/IEWDR01OR,10.58052/IEWDR01KH,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,43.0881,-71.2346,stream,Lamprey River,MP-18,LMP19,In stream site,United States,New Hampshire,Deerfield,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_063_RNA,10.58052/IEWDR01OS,10.58052/IEWDR01KI,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study,43.0795,-71.0359,stream,North River,MP-19,NOR27,In stream site,United States,New Hampshire,Epping,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
SSS001_RNA,10.58052/IEWDR01OT,10.58052/IEPRS008O,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0417,-120.5731,stream,Satus Creek,S63,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS002_RNA,10.58052/IEWDR01OU,10.58052/IEPRS008C,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0959,-120.5476,stream,Satus Creek,S30R,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS003_RNA,10.58052/IEWDR01OV,10.58052/IEPRS008D,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.2059,-120.4811,stream,Logy Creek,S31,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS004_RNA,10.58052/IEWDR01OW,10.58052/IEPRS008M,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6659,-120.8161,stream,South Fork Cowiche Creek,S55N,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
